Phrase	SoundsLike	IPA	DisplayAs
Infosys	in-fo-sis		Infosys
Infosys	in-foe-sis		Infosys
Reliance	ri-lai-ens		Reliance
Wipro	vip-ro		Wipro
Wipro	wip-ro		Wipro
Tata-Motors			Tata Motors
Tata-Steel			Tata Steel
Tata-Consultancy-Services			Tata Consultancy Services
Hindustan-Unilever			Hindustan Unilever
Bharti-Airtel			Bharti Airtel
Airtel	air-tel		Airtel
Kotak	ko-tak		Kotak
Kotak-Mahindra			Kotak Mahindra
Larsen-and-Toubro			Larsen and Toubro
Asian-Paints			Asian Paints
Maruti	ma-ru-ti		Maruti
Maruti-Suzuki			Maruti Suzuki
Sun-Pharma			Sun Pharma
Titan			Titan
UltraTech	ul-tra-tek		UltraTech
Nestle	nes-lay		Nestle
Bajaj-Finance			Bajaj Finance
Bajaj-Finserv			Bajaj Finserv
Bajaj	ba-jaj		Bajaj
O.N.G.C.			ONGC
N.T.P.C.			NTPC
T.C.S.			TCS
H.D.F.C.			HDFC
H.D.F.C.-Bank			HDFC Bank
I.C.I.C.I.			ICICI
I.C.I.C.I.-Bank			ICICI Bank
I.T.C.			ITC
S.B.I.			SBI
State-Bank-of-India			State Bank of India
H.C.L.			HCL
H.C.L.-Tech			HCL Tech
J.S.W.			JSW
J.S.W.-Steel			JSW Steel
B.P.C.L.			BPCL
Power-Grid			Power Grid
Mahindra	ma-hin-dra		Mahindra
Mahindra-and-Mahindra			Mahindra and Mahindra
Adani	a-da-ni		Adani
Adani-Enterprises			Adani Enterprises
Adani-Ports			Adani Ports
Coal-India			Coal India
Grasim	gra-sim		Grasim
Doctor-Reddys			Dr Reddy's
Cipla	sip-la		Cipla
Eicher	ai-sher		Eicher
Eicher-Motors			Eicher Motors
Hero-MotoCorp			Hero MotoCorp
Divis	di-vees		Divi's
Britannia	bri-tan-ya		Britannia
IndusInd	in-dus-ind		IndusInd
Axis-Bank			Axis Bank
R.S.I.			RSI
M.A.C.D.			MACD
MACD	mac-dee		MACD
E.M.A.			EMA
S.M.A.			SMA
W.M.A.			WMA
V.W.A.P.			VWAP
VWAP	vee-wap		VWAP
A.T.R.			ATR
A.D.X.			ADX
C.C.I.			CCI
O.B.V.			OBV
Bollinger	bol-in-jer		Bollinger
Bollinger-Bands			Bollinger Bands
Stochastic	sto-kas-tik		Stochastic
Donchian	don-chee-an		Donchian
Aroon	a-roon		Aroon
backtest	back-test		backtest
backtests	back-tests		backtests
backtesting	back-tes-ting		backtesting
Nifty	nif-ty		Nifty
Sensex	sen-sex		Sensex
N.S.E.			NSE
pyramiding	pi-ra-mi-ding		pyramiding
drawdown	draw-down		drawdown
doji	doe-jee		doji
engulfing	en-gul-fing		engulfing
Marubozu	ma-ru-bo-zu		Marubozu
MyAlgoAgent	my-al-go-a-jent		MyAlgoAgent
paper-trading			paper trading
